time, fuel, x, y, velocity_x, velocity_y, acceleration_x, acceleration_y, gravChange
0.0, 163767.0 , 0.19, 0.09, 1.89, 0.91, 18.89, 9.10, 9.80
0.1, 163634.0 , 0.57, 0.27, 3.78, 1.82, 18.91, 9.11, 9.80
0.2, 163501.0 , 1.13, 0.55, 5.67, 2.73, 18.92, 9.12, 9.80
0.3, 163368.0 , 1.89, 0.91, 7.57, 3.65, 18.93, 9.13, 9.80
0.4, 163235.0 , 2.84, 1.37, 9.46, 4.56, 18.94, 9.15, 9.80
0.5, 163102.0 , 3.97, 1.91, 11.36, 5.48, 18.96, 9.16, 9.80
0.6, 162969.0 , 5.30, 2.55, 13.25, 6.39, 18.97, 9.17, 9.80
0.7, 162836.0 , 6.81, 3.29, 15.15, 7.31, 18.98, 9.18, 9.80
0.8, 162703.0 , 8.52, 4.11, 17.05, 8.23, 19.00, 9.20, 9.80
0.9, 162570.0 , 10.41, 5.02, 18.95, 9.15, 19.01, 9.21, 9.80
1.0, 162437.0 , 12.50, 6.03, 20.85, 10.08, 19.02, 9.22, 9.80
1.1, 162304.0 , 14.77, 7.13, 22.76, 11.00, 19.03, 9.24, 9.80
1.2, 162171.0 , 17.24, 8.32, 24.66, 11.92, 19.05, 9.25, 9.80
1.3, 162038.0 , 19.90, 9.61, 26.57, 12.85, 19.06, 9.26, 9.80
1.4, 161905.0 , 22.74, 10.99, 28.47, 13.78, 19.07, 9.27, 9.80
1.5, 161772.0 , 25.78, 12.46, 30.38, 14.71, 19.09, 9.29, 9.80
1.6, 161639.0 , 29.01, 14.02, 32.29, 15.64, 19.10, 9.30, 9.80
1.7, 161506.0 , 32.43, 15.68, 34.20, 16.57, 19.11, 9.31, 9.80
1.8, 161373.0 , 36.04, 17.43, 36.12, 17.50, 19.12, 9.33, 9.80
1.9, 161240.0 , 39.85, 19.27, 38.03, 18.43, 19.14, 9.34, 9.80
2.0, 161107.0 , 43.84, 21.21, 39.95, 19.37, 19.15, 9.35, 9.80
2.1, 160974.0 , 48.03, 23.24, 41.86, 20.31, 19.16, 9.37, 9.80
2.2, 160841.0 , 52.41, 25.36, 43.78, 21.24, 19.18, 9.38, 9.80
2.3, 160708.0 , 56.98, 27.58, 45.70, 22.18, 19.19, 9.39, 9.80
2.4, 160575.0 , 61.74, 29.89, 47.62, 23.12, 19.20, 9.41, 9.80
2.5, 160442.0 , 66.69, 32.30, 49.54, 24.07, 19.22, 9.42, 9.80
2.6, 160309.0 , 71.84, 34.80, 51.46, 25.01, 19.23, 9.43, 9.80
2.7, 160176.0 , 77.18, 37.40, 53.39, 25.95, 19.24, 9.44, 9.80
2.8, 160043.0 , 82.71, 40.09, 55.31, 26.90, 19.26, 9.46, 9.80
2.9, 159910.0 , 88.43, 42.87, 57.24, 27.85, 19.27, 9.47, 9.80
3.0, 159777.0 , 94.35, 45.75, 59.17, 28.79, 19.28, 9.48, 9.80
3.1, 159644.0 , 100.46, 48.73, 61.10, 29.74, 19.30, 9.50, 9.80
3.2, 159511.0 , 106.76, 51.79, 63.03, 30.70, 19.31, 9.51, 9.80
